Descriptio,Name,Latitude,Longitude,Number of Records,Path,Shapeid
Municipio,Chisec,15.89846134,-89.98535919,1,186,1
Municipio,Chisec,15.9007082,-89.98610687,1,187,1
Municipio,Chisec,15.90272141,-89.98361969,1,188,1
Municipio,Chisec,15.8987999,-89.97570038,1,189,1
Municipio,Chisec,15.89678764,-89.97777557,1,190,1
Municipio,Chisec,15.8961544,-89.97979736,1,191,1
Municipio,Chisec,15.89271545,-89.98158264,1,192,1
Municipio,Chisec,15.89270115,-89.97281647,1,193,1
Municipio,Chisec,15.89205933,-89.96943665,1,194,1
Municipio,Chisec,15.88601398,-89.96460724,1,195,1
Municipio,Chisec,15.88699245,-89.96022034,1,196,1
Municipio,Chisec,15.88986397,-89.95866394,1,197,1
Municipio,Chisec,15.88928318,-89.95433807,1,198,1
Municipio,Chisec,15.8867569,-89.95346069,1,199,1
Municipio,Chisec,15.88427544,-89.95448303,1,200,1
Municipio,Chisec,15.88123512,-89.9567337,1,201,1
Municipio,Chisec,15.87691402,-89.94881439,1,202,1
Municipio,Chisec,15.87283039,-89.94776917,1,203,1
Municipio,Chisec,15.87145138,-89.94853973,1,204,1
Municipio,Chisec,15.87345886,-89.95226288,1,205,1
Municipio,Chisec,15.87070274,-89.95244598,1,206,1
Municipio,Chisec,15.85793972,-89.95066834,1,207,1
Municipio,Chisec,15.85578918,-89.93669128,1,208,1
Municipio,Chisec,15.8507843,-89.93618011,1,209,1
Municipio,Chisec,15.84543228,-89.92973328,1,210,1
Municipio,Chisec,15.83973408,-89.93106842,1,211,1
Municipio,Chisec,15.83537865,-89.94061279,1,212,1
Municipio,Chisec,15.83123779,-89.94329834,1,213,1
Municipio,Chisec,15.82352734,-89.94126129,1,214,1
Municipio,Chisec,15.80736637,-89.9442215,1,215,1
Municipio,Chisec,15.79862595,-89.94431305,1,216,1
Municipio,Chisec,15.79373932,-89.94451904,1,217,1
Municipio,Chisec,15.77281666,-89.95537567,1,218,1
Municipio,Chisec,15.76366138,-89.95090485,1,219,1
Municipio,Chisec,15.75215626,-89.94887543,1,220,1
Municipio,Chisec,15.74526024,-89.95494843,1,221,1
Municipio,Chisec,15.74079037,-89.96746826,1,222,1
Municipio,Chisec,15.73872089,-89.96860504,1,223,1
Municipio,Chisec,15.73683357,-89.97286987,1,224,1
Municipio,Chisec,15.73976517,-89.97505188,1,225,1
Municipio,Chisec,15.73420334,-89.98812103,1,226,1
Municipio,Chisec,15.73477077,-89.98870087,1,227,1
Municipio,Chisec,15.73950005,-89.99235535,1,228,1
Municipio,Chisec,15.73840618,-89.99538422,1,229,1
Municipio,Chisec,15.73432732,-89.99664307,1,230,1
Municipio,Chisec,15.73346138,-89.99972534,1,231,1
Municipio,Chisec,15.73795509,-90.00048065,1,232,1
Municipio,Chisec,15.73869991,-90.00160217,1,233,1
Municipio,Chisec,15.7364006,-90.00397491,1,234,1
Municipio,Chisec,15.74486542,-90.01271057,1,235,1
Municipio,Chisec,15.74218273,-90.02535248,1,236,1
Municipio,Chisec,15.74603367,-90.02722931,1,237,1
Municipio,Chisec,15.74563789,-90.02972412,1,238,1
Municipio,Chisec,15.74407673,-90.03091431,1,239,1
Municipio,Chisec,15.75106239,-90.05026245,1,240,1
Municipio,Chisec,15.75086212,-90.07058716,1,241,1
Municipio,Chisec,15.75465584,-90.0715332,1,242,1
Municipio,Chisec,15.75213814,-90.08184814,1,243,1
Municipio,Chisec,15.75910091,-90.09046173,1,244,1
Municipio,Chisec,15.76117039,-90.09069824,1,245,1
Municipio,Chisec,15.76354313,-90.09868622,1,246,1
Municipio,Chisec,15.76141644,-90.10225677,1,247,1
Municipio,Chisec,15.76896477,-90.11483765,1,248,1
Municipio,Chisec,15.76689339,-90.116745,1,249,1
Municipio,Chisec,15.76782799,-90.12414551,1,250,1
Municipio,Chisec,15.76587391,-90.12652588,1,251,1
Municipio,Chisec,15.76306152,-90.12885284,1,252,1
Municipio,Chisec,15.76070976,-90.13542938,1,253,1
Municipio,Chisec,15.76193142,-90.15409851,1,254,1
Municipio,Chisec,15.76778412,-90.18499756,1,255,1
Municipio,Chisec,15.76743793,-90.19300079,1,256,1
Municipio,Chisec,15.75916004,-90.19534302,1,257,1
Municipio,Chisec,15.74513245,-90.20037842,1,258,1
Municipio,Chisec,15.74168968,-90.20323944,1,259,1
Municipio,Chisec,15.73938942,-90.20584869,1,260,1
Municipio,Chisec,15.73456573,-90.20960236,1,261,1
Municipio,Chisec,15.7292738,-90.21264648,1,262,1
Municipio,Chisec,15.72323608,-90.21343231,1,263,1
Municipio,Chisec,15.71887207,-90.217659,1,264,1
Municipio,Chisec,15.7159977,-90.22531128,1,265,1
Municipio,Chisec,15.71434498,-90.23297119,1,266,1
Municipio,Chisec,15.71452332,-90.2430954,1,267,1
Municipio,Chisec,15.71245575,-90.24743652,1,268,1
Municipio,Chisec,15.70930386,-90.2505188,1,269,1
Municipio,Chisec,15.70872688,-90.25401306,1,270,1
Municipio,Chisec,15.70637798,-90.25983429,1,271,1
Municipio,Chisec,15.7063818,-90.26255798,1,272,1
Municipio,Chisec,15.70361996,-90.2650528,1,273,1
Municipio,Chisec,15.70460892,-90.26968384,1,274,1
Municipio,Chisec,15.71295071,-90.27444458,1,275,1
Municipio,Chisec,15.71306896,-90.27539825,1,276,1
Municipio,Chisec,15.71606636,-90.28113556,1,277,1
Municipio,Chisec,15.71958065,-90.2869873,1,278,1
Municipio,Chisec,15.72096443,-90.2895813,1,279,1
Municipio,Chisec,15.72314739,-90.29153442,1,280,1
Municipio,Chisec,15.72332287,-90.29336548,1,281,1
Municipio,Chisec,15.72132015,-90.29639435,1,282,1
Municipio,Chisec,15.71965122,-90.30558777,1,283,1
Municipio,Chisec,15.72271442,-90.31269073,1,284,1
Municipio,Chisec,15.72364044,-90.31523132,1,285,1
Municipio,Chisec,15.7223177,-90.31648254,1,286,1
Municipio,Chisec,15.72087955,-90.32110596,1,287,1
Municipio,Chisec,15.72261047,-90.32530212,1,288,1
Municipio,Chisec,15.72572327,-90.32695007,1,289,1
Municipio,Chisec,15.72676373,-90.33110809,1,290,1
Municipio,Chisec,15.72441483,-90.33757019,1,291,1
Municipio,Chisec,15.72240162,-90.33882141,1,292,1
Municipio,Chisec,15.72188663,-90.3421402,1,293,1
Municipio,Chisec,15.72188663,-90.34634399,1,294,1
Municipio,Chisec,15.72085667,-90.35191345,1,295,1
Municipio,Chisec,15.71994781,-90.35702515,1,296,1
Municipio,Chisec,15.71759319,-90.35987091,1,297,1
Municipio,Chisec,15.71218491,-90.36238098,1,298,1
Municipio,Chisec,15.7071209,-90.36169434,1,299,1
Municipio,Chisec,15.70465469,-90.36105347,1,300,1
Municipio,Chisec,15.70366764,-90.35926819,1,301,1
Municipio,Chisec,15.70016193,-90.35857391,1,302,1
Municipio,Chisec,15.69590855,-90.36256409,1,303,1
Municipio,Chisec,15.693573,-90.38082886,1,304,1
Municipio,Chisec,15.70300865,-90.38848877,1,305,1
Municipio,Chisec,15.70349026,-90.40229797,1,306,1
Municipio,Chisec,15.71345234,-90.41226196,1,307,1
Municipio,Chisec,15.71420383,-90.41529083,1,308,1
Municipio,Chisec,15.71426296,-90.41653442,1,309,1
Municipio,Chisec,15.70758533,-90.41780853,1,310,1
Municipio,Chisec,15.70770931,-90.42076111,1,311,1
Municipio,Chisec,15.72220421,-90.42225647,1,312,1
Municipio,Chisec,15.72249126,-90.42301178,1,313,1
Municipio,Chisec,15.72366238,-90.44185638,1,314,1
Municipio,Chisec,15.72430515,-90.45038605,1,315,1
Municipio,Chisec,15.72413445,-90.45062256,1,316,1
Municipio,Chisec,15.71483135,-90.46624756,1,317,1
Municipio,Chisec,15.71356583,-90.46891785,1,318,1
Municipio,Chisec,15.71627998,-90.47127533,1,319,1
Municipio,Chisec,15.71427155,-90.48075867,1,320,1
Municipio,Chisec,15.71860504,-90.49182892,1,321,1
